Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss -2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss -2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss -2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss -2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss -2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss -2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss -2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss -2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
             Table_BJ->theDealer->winLoss 2.000000Table_BJ->theDealer->casinoDrop: 2.000000 
